model,mape,wmape,smape
Naive,1.3474996399096124,0.9794795628367807,1.2873836123395703
SeasonalNaive,2.9452884432129167,1.4677924095369559,1.3007370506702869
SeasWA,2.2643517050183495,1.1440679708030974,1.3179248474964567
WindowAverage,3.8717921333470433,1.4759380909169049,1.4991303374713894
RWD,1.3605733997946807,0.9794741694236523,1.2831437281612728
HistoricAverage,1.0197930333416831,1.0024820822751987,1.9759528832398543
SES,1.0065496396693747,1.000821336692141,1.9918602830581527
SESOpt,0.9692118664545093,0.9961391122199154,1.8695013801730596
SeasonalES,4.706391568356261,1.40988693118425,1.5985613007265116
SeasESOpt,1.2446244434236287,1.0221980571970193,1.865022475568306
ADIDA,1.5290863313095493,0.9925765338663622,1.256905888063026
CrostonClassic,4.8851899620327375,1.7112654468830935,1.52539698393478
CrostonOptimized,4.885171861623637,1.7112611520361414,1.5253965333938082
CrostonSBA,4.664843534834224,1.6589818672186074,1.5196431575898677
IMAPA,1.5290863313095493,0.9925765338663622,1.256905888063026
TSB,5.587789702666988,1.8779776099925194,1.5405512586788388
MSTL,2.7500068024221225,1.3817013059819963,1.3441168256119693
DynamicOptimizedTheta,1.5518383959222934,0.9925638933509011,1.2557176407658144
GARCH,108.60457456391627,29.775496437910085,1.8424846768992125
ARCH,54.04144813102771,14.802433946780882,1.800249145217696
AutoARIMA,1.0779801399486768,1.0048202459829796,1.929318540024647
AutoETS,1.0185044455643213,1.002320491031097,1.9774698401388329
AutoTheta,1.5518383959222934,0.9925638933509011,1.2557176407658144
SarimaX,1.0000293224821686,1.000029353086323,1.9999418776014373
LSTM,1.000024495451237,1.0000245036573148,2.0
