Data,y,ds,unique_id
2004-01-20,0.008033729286485602,2004-01-20,Fechamento
2004-01-21,-0.015230885329587718,2004-01-21,Fechamento
2004-01-22,-0.012220066029483778,2004-01-22,Fechamento
2004-01-23,0.021082281243694823,2004-01-23,Fechamento
2004-01-24,0.0004162647927772323,2004-01-24,Fechamento
2004-01-25,0.0004162647927772323,2004-01-25,Fechamento
2004-01-26,0.0345712530770399,2004-01-26,Fechamento
2004-01-27,-0.00617515738714447,2004-01-27,Fechamento
2004-01-28,-0.01422400534168311,2004-01-28,Fechamento
2004-01-29,-0.05783939640522062,2004-01-29,Fechamento
2004-01-30,-0.01848519310542729,2004-01-30,Fechamento
2004-01-31,-0.012430499832487119,2004-01-31,Fechamento
2004-02-01,-0.024180938059868873,2004-02-01,Fechamento
2004-02-02,0.001444042395084999,2004-02-02,Fechamento
2004-02-03,0.025627205925859986,2004-02-03,Fechamento
2004-02-04,-0.02082401891039698,2004-02-04,Fechamento
2004-02-05,-0.018085725808592912,2004-02-05,Fechamento
2004-02-06,0.04564744916637853,2004-02-06,Fechamento
2004-02-07,0.006761790553666725,2004-02-07,Fechamento
2004-02-08,0.008091227593312156,2004-02-08,Fechamento
2004-02-09,0.003417301222820246,2004-02-09,Fechamento
2004-02-10,0.014219815428662574,2004-02-10,Fechamento
2004-02-11,0.049280238819598754,2004-02-11,Fechamento
2004-02-12,-0.0016936219492582616,2004-02-12,Fechamento
2004-02-13,-0.018630154270323995,2004-02-13,Fechamento
2004-02-14,0.009318715850299863,2004-02-14,Fechamento
2004-02-15,0.010794069507169768,2004-02-15,Fechamento
2004-02-16,-0.014514492786306565,2004-02-16,Fechamento
2004-02-17,0.008459803374912145,2004-02-17,Fechamento
2004-02-18,-0.019989295989882194,2004-02-18,Fechamento
2004-02-19,-0.04372708214665799,2004-02-19,Fechamento
2004-02-20,0.01960445386058618,2004-02-20,Fechamento
2004-02-21,-0.010033322737469685,2004-02-21,Fechamento
2004-02-22,-0.008913030225260465,2004-02-22,Fechamento
2004-02-23,-0.014703974758651336,2004-02-23,Fechamento
2004-02-24,-0.012061314143035906,2004-02-24,Fechamento
2004-02-25,0.010649233576996764,2004-02-25,Fechamento
2004-02-26,-0.0053929389202247435,2004-02-26,Fechamento
2004-02-27,0.01490814338218982,2004-02-27,Fechamento
2004-02-28,0.0067214793463206135,2004-02-28,Fechamento
2004-02-29,0.0067214793463206135,2004-02-29,Fechamento
2004-03-01,0.0324034363415886,2004-03-01,Fechamento
2004-03-02,0.00022073585805060247,2004-03-02,Fechamento
2004-03-03,0.006675407358832874,2004-03-03,Fechamento
2004-03-04,-0.006478377224204301,2004-03-04,Fechamento
2004-03-05,0.018678723534115704,2004-03-05,Fechamento
2004-03-06,0.010299985173676696,2004-03-06,Fechamento
2004-03-07,0.00477412238169872,2004-03-07,Fechamento
2004-03-08,0.003151910989544149,2004-03-08,Fechamento
2004-03-09,-0.016485631537548784,2004-03-09,Fechamento
2004-03-10,-0.04810194784900501,2004-03-10,Fechamento
2004-03-11,-0.04048375082085531,2004-03-11,Fechamento
2004-03-12,0.046994343436792985,2004-03-12,Fechamento
2004-03-13,-0.010985015156214395,2004-03-13,Fechamento
2004-03-14,-0.014519246692654031,2004-03-14,Fechamento
2004-03-15,-0.02436136075250861,2004-03-15,Fechamento
2004-03-16,0.01823703413297162,2004-03-16,Fechamento
2004-03-17,0.015482192870133193,2004-03-17,Fechamento
2004-03-18,0.021456263266661058,2004-03-18,Fechamento
2004-03-19,-0.0038096072438045248,2004-03-19,Fechamento
2004-03-20,0.005400904454690547,2004-03-20,Fechamento
2004-03-21,0.012841470756490336,2004-03-21,Fechamento
2004-03-22,-0.024468642840576038,2004-03-22,Fechamento
2004-03-23,-0.015058718817378303,2004-03-23,Fechamento
2004-03-24,-0.0028139457248070876,2004-03-24,Fechamento
2004-03-25,0.007105912260534808,2004-03-25,Fechamento
2004-03-26,0.025933218152730753,2004-03-26,Fechamento
2004-03-27,-0.0018604353938991736,2004-03-27,Fechamento
2004-03-28,0.0037916164677700426,2004-03-28,Fechamento
2004-03-29,-0.0034911055056014995,2004-03-29,Fechamento
2004-03-30,0.022485780286064738,2004-03-30,Fechamento
2004-03-31,0.0009917840259165978,2004-03-31,Fechamento
2004-04-01,0.01865676811133765,2004-04-01,Fechamento
