Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,ds,y
2004-03-01,22.499,21.761,22.528,21.761,340330000,3.42,2004-03-01,22.499
2004-03-02,22.442,22.496,22.714,21.942,339790000,-0.25,2004-03-02,22.442
2004-03-03,22.55,22.442,22.801,22.191,305090000,0.48,2004-03-03,22.55
2004-03-04,22.393,22.542,22.753,22.256,347160000,-0.7,2004-03-04,22.393
2004-03-05,22.873,22.397,22.937,22.349,335060000,2.14,2004-03-05,22.873
2004-03-08,22.993,22.874,23.373,22.874,295070000,0.53,2004-03-08,22.993
2004-03-09,22.674,22.993,23.094,22.503,235170000,-1.39,2004-03-09,22.674
2004-03-10,21.67,22.674,22.674,21.67,326190000,-4.43,2004-03-10,21.67
2004-03-11,20.763,21.673,21.75,20.756,399570000,-4.19,2004-03-11,20.763
2004-03-12,21.776,20.77,21.8,20.77,342720000,4.88,2004-03-12,21.776
2004-03-15,21.234,21.776,21.836,21.162,304930000,-2.49,2004-03-15,21.234
2004-03-16,21.613,21.234,21.647,21.234,308940000,1.79,2004-03-16,21.613
2004-03-17,21.901,21.62,22.034,21.62,351370000,1.33,2004-03-17,21.901
2004-03-18,22.37,21.901,22.411,21.679,341660000,2.14,2004-03-18,22.37
2004-03-19,22.261,22.37,22.47,22.217,292930000,-0.49,2004-03-19,22.261
2004-03-22,21.663,22.248,22.248,21.569,158390000,-2.68,2004-03-22,21.663
2004-03-23,21.205,21.663,21.832,21.205,370090000,-2.11,2004-03-23,21.205
2004-03-24,20.985,21.202,21.317,20.834,359870000,-1.04,2004-03-24,20.985
